/Dessert/
Apple Pie: Apples, cinnamon, sugar
Chocolate Cake: Chocolate, flour, sugar
Strawberry Shortcake: Strawberries, cake, whipped cream
Banana Pudding: Bananas, vanilla wafers, pudding
Blueberry Cobbler: Blueberries, butter, sugar
Peach Crisp: Peaches, oats, brown sugar
Lemon Bars: Lemon, flour, sugar
Key Lime Pie: Key lime, condensed milk, graham crackers
Raspberry Cheesecake: Raspberry, cream cheese, graham crackers
Pineapple Upside-Down Cake: Pineapple, cherries, cake
Black Forest Cake: Cherry, chocolate, whipped cream
Pecan Pie: Pecans, corn syrup, eggs
Carrot Cake: Carrots, walnuts, cream cheese frosting
Red Velvet Cake: Cocoa, buttermilk, cream cheese frosting
Tiramisu: Coffee, ladyfingers, mascarpone
Chocolate Chip Cookies: Chocolate chips, flour, butter
Coconut Macaroons: Coconut, egg whites, sugar
Baklava: Phyllo dough, nuts, honey
Creme Brulee: Cream, eggs, sugar
S'mores: Graham crackers, chocolate, marshmallow
Lava Cake: Chocolate, flour, eggs
Pavlova: Meringue, whipped cream, fruit
Eclair: Pastry cream, chocolate, pastry dough
Molten Chocolate Cake: Chocolate, flour, eggs
Fruit Tart: Pastry crust, custard, assorted fruits
Napoleon: Puff pastry, pastry cream, chocolate
Cherry Pie: Cherries, sugar, pie crust
Pumpkin Pie: Pumpkin, cinnamon, nutmeg
Cinnamon Rolls: Cinnamon, dough, icing
Bread Pudding: Bread, milk, eggs
Cheesecake: Cream cheese, eggs, sugar
German Chocolate Cake: Chocolate, coconut, pecans
Angel Food Cake: Flour, egg whites, sugar
Ice Cream Sundae: Ice cream, chocolate syrup, whipped cream
Brownies: Chocolate, flour, eggs
Lemon Meringue Pie: Lemon, eggs, pie crust
Caramel Apples: Apples, caramel, nuts
Chocolate Mousse: Chocolate, cream, eggs
Rice Pudding: Rice, milk, sugar
Tapioca Pudding: Tapioca pearls, milk, sugar
Fried Ice Cream: Ice cream, cornflakes, cinnamon
Boston Cream Pie: Custard, chocolate, cake
Tres Leches Cake: Milk, eggs, cake
Fudge: Chocolate, condensed milk, nuts
Lemon Pound Cake: Lemon, flour, sugar
Mango Sorbet: Mango, sugar, water
Coffee Cake: Coffee, cinnamon, streusel
Cherry Cheesecake: Cherry, cream cheese, graham crackers
Peanut Butter Cookies: Peanut butter, flour, sugar
Shortbread Cookies: Butter, flour, sugar
Gelato: Milk, sugar, flavorings
Cannoli: Ricotta, pastry dough, chocolate
Pumpkin Roll: Pumpkin, cream cheese, cinnamon
Banana Cream Pie: Bananas, pudding, pie crust
Coconut Cream Pie: Coconut, cream, pie crust
Apple Crisp: Apples, oats, brown sugar
Peach Cobbler: Peaches, butter, sugar
Chocolate Souffle: Chocolate, eggs, sugar
Key Lime Bars: Key lime, graham crackers, condensed milk
Rocky Road Ice Cream: Chocolate, marshmallow, nuts
Fruit Sorbet: Fruit, sugar, water
Chocolate Covered Strawberries: Strawberries, chocolate, sprinkles
Raspberry Sorbet: Raspberry, sugar, water
Butter Pecan Ice Cream: Pecans, butter, cream
Neapolitan Ice Cream: Chocolate, vanilla, strawberry
Biscotti: Almonds, flour, sugar
Chocolate Truffles: Chocolate, cream, cocoa powder
Chocolate Eclairs: Chocolate, pastry cream, pastry dough
Fruit Salad: Assorted fruits, honey, mint
Peanut Butter Pie: Peanut butter, cream cheese, whipped cream
Chocolate Peanut Butter Pie: Chocolate, peanut butter, whipped cream
Chocolate Covered Bananas: Bananas, chocolate, nuts
Chocolate Fondue: Chocolate, fruit, skewers
Chocolate Covered Pretzels: Pretzels, chocolate, sprinkles
Chocolate Covered Raisins: Raisins, chocolate, sugar
Chocolate Covered Almonds: Almonds, chocolate, sea salt
Chocolate Covered Cherries: Cherries, chocolate, liqueur
Chocolate Covered Blueberries: Blueberries, chocolate, powdered sugar
Chocolate Covered Cranberries: Cranberries, chocolate, orange zest
Chocolate Covered Dates: Dates, chocolate, nuts
Chocolate Covered Espresso Beans: Espresso beans, chocolate, cocoa powder
Chocolate Covered Orange Peel: Orange peel, chocolate, sugar
Chocolate Covered Pineapple: Pineapple, chocolate, coconut
Chocolate Covered Raspberry: Raspberry, chocolate, almonds
Chocolate Covered Strawberries with Champagne: Strawberries, chocolate, champagne
Chocolate Mousse Cake: Chocolate, cream, eggs
Chocolate Pudding: Chocolate, milk, sugar
Chocolate Banana Bread: Chocolate, bananas, flour
Chocolate Zucchini Bread: Chocolate, zucchini, flour
Chocolate Bread Pudding: Chocolate, bread, eggs
Chocolate Cream Pie: Chocolate, cream, pie crust
Chocolate Strawberry Cake: Chocolate, strawberries, cake
Chocolate Raspberry Tart: Chocolate, raspberries, pastry crust
Chocolate Orange Truffles: Chocolate, cream, orange zest
Chocolate Coconut Cupcakes: Chocolate, coconut, flour
Chocolate Mint Cookies: Chocolate, mint, flour
Chocolate Hazelnut Brownies: Chocolate, hazelnut, flour
Chocolate Cherry Cupcakes: Chocolate, cherry, flour
Chocolate Almond Cake: Chocolate, almond, flour
Chocolate Raspberry Brownies: Chocolate, raspberry, flour
Chocolate Toffee Cookies: Chocolate, toffee, flour
Chocolate Caramel Cupcakes: Chocolate, caramel, flour
Chocolate Banana Cupcakes: Chocolate, banana, flour
Chocolate Peanut Butter Brownies: Chocolate, peanut butter, flour
Chocolate Mint Cupcakes: Chocolate, mint, flour
Chocolate Strawberry Cupcakes: Chocolate, strawberry, flour
Chocolate Coconut Brownies: Chocolate, coconut, flour
Chocolate Raspberry Cupcakes: Chocolate, raspberry, flour
Chocolate Orange Cupcakes: Chocolate, orange, flour
Chocolate Caramel Brownies: Chocolate, caramel, flour
Chocolate Hazelnut Cupcakes: Chocolate, hazelnut, flour
Chocolate Toffee Brownies: Chocolate, toffee, flour
Chocolate Banana Brownies: Chocolate, banana, flour
Chocolate Peanut Butter Cupcakes: Chocolate, peanut butter, flour
Chocolate Mint Brownies: Chocolate, mint, flour
Chocolate Strawberry Brownies: Chocolate, strawberry, flour
Chocolate Coconut Cupcakes: Chocolate, coconut, flour
Chocolate Raspberry Brownies: Chocolate, raspberry, flour
Chocolate Orange Brownies: Chocolate, orange, flour
Chocolate Caramel Cupcakes: Chocolate, caramel, flour
Chocolate Hazelnut Brownies: Chocolate, hazelnut, flour
Chocolate Toffee Cupcakes: Chocolate, toffee, flour
Chocolate Banana Cupcakes: Chocolate, banana, flour
Chocolate Peanut Butter Brownies: Chocolate, peanut butter, flour
Chocolate Mint Cupcakes: Chocolate, mint, flour
Chocolate Strawberry Cupcakes: Chocolate, strawberry, flour
Chocolate Coconut Brownies: Chocolate, coconut, flour
Chocolate Raspberry Cupcakes: Chocolate, raspberry, flour
Chocolate Orange Cupcakes: Chocolate, orange, flour
Chocolate Caramel Brownies: Chocolate, caramel, flour
Chocolate Hazelnut Cupcakes: Chocolate, hazelnut, flour
Chocolate Toffee Brownies: Chocolate, toffee, flour
Chocolate Banana Brownies: Chocolate, banana, flour
Chocolate Peanut Butter Cupcakes: Chocolate, peanut butter, flour
Chocolate Mint Brownies: Chocolate, mint, flour
Chocolate Strawberry Brownies: Chocolate, strawberry, flour
Chocolate Coconut Cupcakes: Chocolate, coconut, flour
Chocolate Raspberry Brownies: Chocolate, raspberry, flour
Chocolate Orange Brownies: Chocolate, orange, flour
Chocolate Caramel Cupcakes: Chocolate, caramel, flour
Chocolate Hazelnut Brownies: Chocolate, hazelnut, flour
Chocolate Toffee Cupcakes: Chocolate, toffee, flour
Chocolate Banana Cupcakes: Chocolate, banana, flour
Chocolate Peanut Butter Brownies: Chocolate, peanut butter, flour
Chocolate Mint Cupcakes: Chocolate, mint, flour
